Index,Factor,Shape Factor,nInfluencePoints
444,7.2,0.0509117,29
445,7.2,0.0509117,29
446,7.2,0.0509117,29
447,7.2,0.0509117,29
448,7.2,0.0509117,29
449,7.2,0.0509117,29
450,7.2,0.0509117,29
451,7.2,0.0509117,29
452,7.2,0.0509117,29
453,7.2,0.0509117,29
454,7.2,0.0509117,29
455,7.2,0.0509117,29
456,7.2,0.0509117,29
457,7.2,0.0509117,29
458,7.2,0.0509117,29
459,7.2,0.0509117,29
460,7.2,0.0509117,29
461,7.2,0.0509117,29
462,7.2,0.0509117,29
463,7.2,0.0509117,29
464,7.2,0.0509117,29
465,7.2,0.0509117,29
466,7.2,0.0509117,29
467,7.2,0.0509117,29
468,7.2,0.0509117,29
469,7.2,0.0509117,29
470,7.2,0.0509117,29
471,7.2,0.0509117,29
472,7.2,0.0509117,30
473,8.3,0.0586899,27
474,9.9,0.0700036,24
475,9.6,0.0678823,24
476,8,0.0565685,29
477,7.2,0.0509117,30
478,7.2,0.0509117,29
479,7.2,0.0509117,29
480,7.2,0.0509117,29
481,7.2,0.0509117,29
482,7.2,0.0509117,29
483,7.2,0.0509117,29
484,7.2,0.0509117,29
485,7.2,0.0509117,29
486,7.2,0.0509117,29
487,7.2,0.0509117,29
488,7.2,0.0509117,29
489,7.2,0.0509117,29
490,7.2,0.0509117,29
491,7.2,0.0509117,29
492,7.2,0.0509117,29
493,7.2,0.0509117,29
494,7.2,0.0509117,29
495,7.2,0.0509117,29
496,7.2,0.0509117,29
497,7.2,0.0509117,29
498,7.2,0.0509117,29
499,7.2,0.0509117,29
500,7.2,0.0509117,29
501,7.2,0.0509117,29
502,7.2,0.0509117,29
503,7.2,0.0509117,29
504,7.2,0.0509117,29
505,7.2,0.0509117,29
506,7.2,0.0509117,29
507,7.2,0.0509117,29
508,7.2,0.0509117,29
509,7.2,0.0509117,29
510,7.2,0.0509117,29
511,7.2,0.0509117,29
512,7.2,0.0509117,29
513,7.2,0.0509117,29
514,7.2,0.0509117,29
515,7.2,0.0509117,29
516,7.2,0.0509117,29
517,7.2,0.0509117,29
518,7.2,0.0509117,29
519,7.2,0.0509117,29
520,7.2,0.0509117,29
521,7.2,0.0509117,30
522,8,0.0565685,29
523,9.6,0.0678823,24
524,9.9,0.0700036,24
525,8.3,0.0586899,27
526,7.2,0.0509117,30
527,7.2,0.0509117,29
528,7.2,0.0509117,29
529,7.2,0.0509117,29
530,7.2,0.0509117,29
531,7.2,0.0509117,29
532,7.2,0.0509117,29
533,7.2,0.0509117,29
534,7.2,0.0509117,29
535,7.2,0.0509117,29
536,7.2,0.0509117,29
537,7.2,0.0509117,29
538,7.2,0.0509117,29
539,7.2,0.0509117,29
540,7.2,0.0509117,29
541,7.2,0.0509117,29
542,7.2,0.0509117,29
543,7.2,0.0509117,29
544,7.2,0.0509117,29
545,7.2,0.0509117,29
546,7.2,0.0509117,29
547,7.2,0.0509117,29
548,7.2,0.0509117,29
549,7.2,0.0509117,29
550,7.2,0.0509117,29
551,7.2,0.0509117,29
552,7.2,0.0509117,29
553,7.2,0.0509117,29
554,7.2,0.0509117,29
555,7.2,0.0509117,29
556,7.2,0.0509117,29
557,7.2,0.0509117,29
558,7.2,0.0509117,29
559,7.2,0.0509117,29
560,7.2,0.0509117,29
561,7.2,0.0509117,29
562,7.2,0.0509117,29
563,7.2,0.0509117,29
564,7.2,0.0509117,29
565,7.2,0.0509117,29
566,7.2,0.0509117,29
567,7.2,0.0509117,29
568,7.2,0.0509117,29
569,7.2,0.0509117,29
570,7.2,0.0509117,30
571,8.3,0.0586899,27
572,9.9,0.0700036,24
573,9.6,0.0678823,24
574,8,0.0565685,29
575,7.2,0.0509117,30
576,7.2,0.0509117,29
577,7.2,0.0509117,29
578,7.2,0.0509117,29
579,7.2,0.0509117,29
580,7.2,0.0509117,29
581,7.2,0.0509117,29
582,7.2,0.0509117,29
583,7.2,0.0509117,29
584,7.2,0.0509117,29
585,7.2,0.0509117,29
586,7.2,0.0509117,29
587,7.2,0.0509117,29
588,7.2,0.0509117,29
589,7.2,0.0509117,29
590,7.2,0.0509117,29
591,7.2,0.0509117,29
592,7.2,0.0509117,29
593,7.2,0.0509117,29
594,7.2,0.0509117,29
595,7.2,0.0509117,29
596,7.2,0.0509117,29
597,7.2,0.0509117,29
598,7.2,0.0509117,29
599,7.2,0.0509117,29
600,7.2,0.0509117,29
601,7.2,0.0509117,29
602,7.2,0.0509117,29
603,7.2,0.0509117,29
604,7.2,0.0509117,29
605,7.2,0.0509117,29
606,7.2,0.0509117,29
607,7.2,0.0509117,29
608,7.2,0.0509117,29
609,7.2,0.0509117,29
610,7.2,0.0509117,29
611,7.2,0.0509117,29
612,7.2,0.0509117,29
613,7.2,0.0509117,29
614,7.2,0.0509117,29
615,7.2,0.0509117,29
616,7.2,0.0509117,29
617,7.2,0.0509117,29
618,7.2,0.0509117,29
619,7.2,0.0509117,30
620,8,0.0565685,29
621,9.6,0.0678823,24
622,9.9,0.0700036,24
623,8.3,0.0586899,27
624,7.2,0.0509117,30
625,7.2,0.0509117,29
626,7.2,0.0509117,29
627,7.2,0.0509117,29
628,7.2,0.0509117,29
629,7.2,0.0509117,29
630,7.2,0.0509117,29
631,7.2,0.0509117,29
632,7.2,0.0509117,29
633,7.2,0.0509117,29
634,7.2,0.0509117,29
635,7.2,0.0509117,29
636,7.2,0.0509117,29
637,7.2,0.0509117,29
638,7.2,0.0509117,29
639,7.2,0.0509117,29
640,7.2,0.0509117,29
641,7.2,0.0509117,29
642,7.2,0.0509117,29
643,7.2,0.0509117,29
644,7.2,0.0509117,29
645,7.2,0.0509117,29
646,7.2,0.0509117,29
647,7.2,0.0509117,29
648,7.2,0.0509117,29
649,7.2,0.0509117,29
650,7.2,0.0509117,29
651,7.2,0.0509117,29
652,7.2,0.0509117,29
653,7.2,0.0509117,29
654,7.2,0.0509117,29
655,7.2,0.0509117,29
656,7.2,0.0509117,29
657,7.2,0.0509117,29
658,7.2,0.0509117,29
659,7.2,0.0509117,29
660,7.2,0.0509117,29
661,7.2,0.0509117,29
662,7.2,0.0509117,29
663,7.2,0.0509117,29
664,7.2,0.0509117,29
665,7.2,0.0509117,29
666,7.2,0.0509117,29
667,7.2,0.0509117,29
668,7.2,0.0509117,30
669,8.3,0.0586899,27
670,9.9,0.0700036,24
671,9.6,0.0678823,24
672,8,0.0565685,29
673,7.2,0.0509117,30
674,7.2,0.0509117,29
675,7.2,0.0509117,29
676,7.2,0.0509117,29
677,7.2,0.0509117,29
678,7.2,0.0509117,29
679,7.2,0.0509117,29
680,7.2,0.0509117,29
681,7.2,0.0509117,29
682,7.2,0.0509117,29
683,7.2,0.0509117,29
684,7.2,0.0509117,29
685,7.2,0.0509117,29
686,7.2,0.0509117,29
687,7.2,0.0509117,29
688,7.2,0.0509117,29
689,7.2,0.0509117,29
690,7.2,0.0509117,29
691,7.2,0.0509117,29
692,7.2,0.0509117,29
693,7.2,0.0509117,29
694,7.2,0.0509117,29
695,7.2,0.0509117,29
696,7.2,0.0509117,29
697,7.2,0.0509117,29
698,7.2,0.0509117,29
699,7.2,0.0509117,29
700,7.2,0.0509117,29
701,7.2,0.0509117,29
702,7.2,0.0509117,29
703,7.2,0.0509117,29
704,7.2,0.0509117,29
